"date";"morningTwilight";"sunrise";"sunset";"eveningTwilight"
"20130304";"06:44";"07:18";"18:25";"18:59"
"20130305";"06:41";"07:15";"18:27";"19:01"
"20130306";"06:39";"07:13";"18:29";"19:03"
"20130307";"06:37";"07:11";"18:31";"19:05"
"20130308";"06:35";"07:08";"18:33";"19:06"
"20130309";"06:32";"07:06";"18:34";"19:08"
"20130310";"06:30";"07:04";"18:36";"19:10"
"20130311";"06:28";"07:02";"18:38";"19:12"
"20130312";"06:25";"06:59";"18:40";"19:14"
"20130313";"06:23";"06:57";"18:42";"19:15"
"20130314";"06:21";"06:55";"18:43";"19:17"
"20130315";"06:18";"06:52";"18:45";"19:19"
"20130316";"06:16";"06:50";"18:47";"19:21"
"20130317";"06:14";"06:48";"18:49";"19:22"
"20130318";"06:11";"06:45";"18:50";"19:24"
"20130319";"06:09";"06:43";"18:52";"19:26"
"20130320";"06:07";"06:41";"18:54";"19:28"
"20130321";"06:04";"06:38";"18:56";"19:30"
"20130322";"06:02";"06:36";"18:57";"19:31"
"20130323";"06:00";"06:34";"18:59";"19:33"
"20130324";"05:57";"06:31";"19:01";"19:35"
"20130325";"05:55";"06:29";"19:03";"19:37"
"20130326";"05:52";"06:26";"19:04";"19:39"
"20130327";"05:50";"06:24";"19:06";"19:40"
"20130328";"05:47";"06:22";"19:08";"19:42"
"20130329";"05:45";"06:19";"19:10";"19:44"
"20130330";"05:43";"06:17";"19:11";"19:46"
"20130331";"06:40";"07:15";"20:13";"20:48"
"20130401";"06:38";"07:12";"20:15";"20:49"
"20130402";"06:35";"07:10";"20:17";"20:51"
"20130403";"06:33";"07:08";"20:18";"20:53"
"20130404";"06:31";"07:05";"20:20";"20:55"
"20130405";"06:28";"07:03";"20:22";"20:57"
"20130406";"06:26";"07:01";"20:23";"20:59"
"20130407";"06:23";"06:59";"20:25";"21:00"
"20130408";"06:21";"06:56";"20:27";"21:02"
"20130409";"06:19";"06:54";"20:29";"21:04"
"20130410";"06:16";"06:52";"20:30";"21:06"
"20130411";"06:14";"06:49";"20:32";"21:08"
"20130412";"06:11";"06:47";"20:34";"21:10"
"20130413";"06:09";"06:45";"20:36";"21:12"
"20130414";"06:07";"06:43";"20:37";"21:13"
"20130415";"06:04";"06:41";"20:39";"21:15"
"20130416";"06:02";"06:38";"20:41";"21:17"
"20130417";"06:00";"06:36";"20:43";"21:19"
"20130418";"05:57";"06:34";"20:44";"21:21"
"20130419";"05:55";"06:32";"20:46";"21:23"
"20130420";"05:53";"06:30";"20:48";"21:25"
"20130421";"05:50";"06:28";"20:49";"21:27"
"20130422";"05:48";"06:25";"20:51";"21:29"
"20130423";"05:46";"06:23";"20:53";"21:31"
"20130424";"05:43";"06:21";"20:55";"21:33"
"20130425";"05:41";"06:19";"20:56";"21:34"
"20130426";"05:39";"06:17";"20:58";"21:36"
"20130427";"05:37";"06:15";"21:00";"21:38"
"20130428";"05:34";"06:13";"21:02";"21:40"
"20130429";"05:32";"06:11";"21:03";"21:42"
"20130430";"05:30";"06:09";"21:05";"21:44"
"20130501";"05:28";"06:07";"21:07";"21:46"
"20130502";"05:26";"06:05";"21:08";"21:48"
"20130503";"05:24";"06:03";"21:10";"21:50"
"20130504";"05:22";"06:02";"21:12";"21:52"
"20130505";"05:19";"06:00";"21:13";"21:54"
"20130506";"05:17";"05:58";"21:15";"21:56"
"20130507";"05:15";"05:56";"21:17";"21:58"
"20130508";"05:13";"05:54";"21:18";"21:59"
"20130509";"05:11";"05:53";"21:20";"22:01"
"20130510";"05:09";"05:51";"21:22";"22:03"
"20130511";"05:07";"05:49";"21:23";"22:05"
"20130512";"05:06";"05:48";"21:25";"22:07"
"20130513";"05:04";"05:46";"21:26";"22:09"
"20130514";"05:02";"05:45";"21:28";"22:11"
"20130515";"05:00";"05:43";"21:30";"22:13"
"20130516";"04:58";"05:41";"21:31";"22:14"
"20130517";"04:57";"05:40";"21:33";"22:16"
"20130518";"04:55";"05:39";"21:34";"22:18"
"20130519";"04:53";"05:37";"21:36";"22:20"
"20130520";"04:52";"05:36";"21:37";"22:21"
"20130521";"04:50";"05:35";"21:39";"22:23"
"20130522";"04:49";"05:33";"21:40";"22:25"
"20130523";"04:47";"05:32";"21:41";"22:26"
"20130524";"04:46";"05:31";"21:43";"22:28"
"20130525";"04:44";"05:30";"21:44";"22:30"
"20130526";"04:43";"05:29";"21:45";"22:31"
"20130527";"04:41";"05:28";"21:47";"22:33"
"20130528";"04:40";"05:27";"21:48";"22:34"
"20130529";"04:39";"05:26";"21:49";"22:36"
"20130530";"04:38";"05:25";"21:50";"22:37"
"20130531";"04:37";"05:24";"21:52";"22:39"
"20130601";"04:36";"05:23";"21:53";"22:40"
"20130602";"04:35";"05:22";"21:54";"22:41"
"20130603";"04:34";"05:22";"21:55";"22:43"
"20130604";"04:33";"05:21";"21:56";"22:44"
"20130605";"04:32";"05:20";"21:57";"22:45"
"20130606";"04:31";"05:20";"21:58";"22:46"
"20130607";"04:31";"05:19";"21:59";"22:47"
"20130608";"04:30";"05:19";"22:00";"22:48"
"20130609";"04:29";"05:18";"22:00";"22:49"
"20130610";"04:29";"05:18";"22:01";"22:50"
"20130611";"04:29";"05:18";"22:02";"22:51"
"20130612";"04:28";"05:17";"22:02";"22:52"
"20130613";"04:28";"05:17";"22:03";"22:52"
"20130614";"04:28";"05:17";"22:04";"22:53"
"20130615";"04:27";"05:17";"22:04";"22:54"
"20130616";"04:27";"05:17";"22:05";"22:54"
"20130617";"04:27";"05:17";"22:05";"22:55"
"20130618";"04:27";"05:17";"22:05";"22:55"
"20130619";"04:27";"05:17";"22:06";"22:55"
"20130620";"04:28";"05:17";"22:06";"22:56"
"20130621";"04:28";"05:18";"22:06";"22:56"
"20130622";"04:28";"05:18";"22:06";"22:56"
"20130623";"04:29";"05:18";"22:06";"22:56"
"20130624";"04:29";"05:19";"22:06";"22:56"
"20130625";"04:29";"05:19";"22:06";"22:56"
"20130626";"04:30";"05:20";"22:06";"22:56"
"20130627";"04:31";"05:20";"22:06";"22:56"
"20130628";"04:31";"05:21";"22:06";"22:55"
"20130629";"04:32";"05:21";"22:06";"22:55"
"20130630";"04:33";"05:22";"22:06";"22:55"
"20130701";"04:34";"05:23";"22:05";"22:54"
"20130702";"04:35";"05:23";"22:05";"22:54"
"20130703";"04:36";"05:24";"22:04";"22:53"
"20130704";"04:37";"05:25";"22:04";"22:52"
"20130705";"04:38";"05:26";"22:03";"22:52"
"20130706";"04:39";"05:27";"22:03";"22:51"
"20130707";"04:40";"05:28";"22:02";"22:50"
"20130708";"04:41";"05:29";"22:01";"22:49"
"20130709";"04:43";"05:30";"22:01";"22:48"
"20130710";"04:44";"05:31";"22:00";"22:47"
"20130711";"04:45";"05:32";"21:59";"22:46"
"20130712";"04:47";"05:33";"21:58";"22:45"
"20130713";"04:48";"05:35";"21:57";"22:44"
"20130714";"04:50";"05:36";"21:56";"22:42"
"20130715";"04:51";"05:37";"21:55";"22:41"
"20130716";"04:53";"05:38";"21:54";"22:40"
"20130717";"04:54";"05:40";"21:53";"22:38"
"20130718";"04:56";"05:41";"21:52";"22:37"
"20130719";"04:57";"05:42";"21:50";"22:35"
"20130720";"04:59";"05:44";"21:49";"22:34"
"20130721";"05:01";"05:45";"21:48";"22:32"
"20130722";"05:02";"05:46";"21:46";"22:31"
"20130723";"05:04";"05:48";"21:45";"22:29"
"20130724";"05:06";"05:49";"21:44";"22:27"
"20130725";"05:07";"05:51";"21:42";"22:26"
"20130726";"05:09";"05:52";"21:41";"22:24"
"20130727";"05:11";"05:54";"21:39";"22:22"
"20130728";"05:13";"05:55";"21:38";"22:20"
"20130729";"05:15";"05:57";"21:36";"22:18"
"20130730";"05:16";"05:58";"21:34";"22:16"
"20130731";"05:18";"06:00";"21:33";"22:14"
"20130801";"05:20";"06:01";"21:31";"22:12"
"20130802";"05:22";"06:03";"21:29";"22:10"
"20130803";"05:24";"06:05";"21:27";"22:08"
"20130804";"05:26";"06:06";"21:26";"22:06"
"20130805";"05:27";"06:08";"21:24";"22:04"
"20130806";"05:29";"06:09";"21:22";"22:02"
"20130807";"05:31";"06:11";"21:20";"22:00"
"20130808";"05:33";"06:13";"21:18";"21:58"
"20130809";"05:35";"06:14";"21:16";"21:56"
"20130810";"05:37";"06:16";"21:14";"21:54"
"20130811";"05:39";"06:18";"21:12";"21:52"
"20130812";"05:40";"06:19";"21:10";"21:49"
"20130813";"05:42";"06:21";"21:08";"21:47"
"20130814";"05:44";"06:23";"21:06";"21:45"
"20130815";"05:46";"06:24";"21:04";"21:43"
"20130816";"05:48";"06:26";"21:02";"21:40"
"20130817";"05:50";"06:27";"21:00";"21:38"
"20130818";"05:51";"06:29";"20:58";"21:36"
"20130819";"05:53";"06:31";"20:56";"21:33"
"20130820";"05:55";"06:32";"20:54";"21:31"
"20130821";"05:57";"06:34";"20:52";"21:29"
"20130822";"05:59";"06:36";"20:50";"21:26"
"20130823";"06:01";"06:37";"20:47";"21:24"
"20130824";"06:02";"06:39";"20:45";"21:22"
"20130825";"06:04";"06:41";"20:43";"21:19"
"20130826";"06:06";"06:42";"20:41";"21:17"
"20130827";"06:08";"06:44";"20:38";"21:15"
"20130828";"06:10";"06:46";"20:36";"21:12"
"20130829";"06:12";"06:47";"20:34";"21:10"
"20130830";"06:13";"06:49";"20:32";"21:07"
"20130831";"06:15";"06:51";"20:29";"21:05"
"20130901";"06:17";"06:52";"20:27";"21:03"
"20130902";"06:19";"06:54";"20:25";"21:00"
"20130903";"06:20";"06:56";"20:23";"20:58"
"20130904";"06:22";"06:57";"20:20";"20:55"
"20130905";"06:24";"06:59";"20:18";"20:53"
"20130906";"06:26";"07:01";"20:16";"20:50"
"20130907";"06:27";"07:02";"20:13";"20:48"
"20130908";"06:29";"07:04";"20:11";"20:46"
"20130909";"06:31";"07:06";"20:09";"20:43"
"20130910";"06:33";"07:07";"20:06";"20:41"
"20130911";"06:34";"07:09";"20:04";"20:38"
"20130912";"06:36";"07:11";"20:01";"20:36"
"20130913";"06:38";"07:12";"19:59";"20:33"
"20130914";"06:40";"07:14";"19:57";"20:31"
"20130915";"06:41";"07:15";"19:54";"20:29"
"20130916";"06:43";"07:17";"19:52";"20:26"
"20130917";"06:45";"07:19";"19:50";"20:24"
"20130918";"06:46";"07:20";"19:47";"20:21"
"20130919";"06:48";"07:22";"19:45";"20:19"
"20130920";"06:50";"07:24";"19:42";"20:16"
"20130921";"06:52";"07:25";"19:40";"20:14"
"20130922";"06:53";"07:27";"19:38";"20:12"
"20130923";"06:55";"07:29";"19:35";"20:09"
"20130924";"06:57";"07:30";"19:33";"20:07"
"20130925";"06:58";"07:32";"19:31";"20:04"
"20130926";"07:00";"07:34";"19:28";"20:02"
"20130927";"07:02";"07:35";"19:26";"20:00"
"20130928";"07:03";"07:37";"19:24";"19:57"
"20130929";"07:05";"07:39";"19:21";"19:55"
"20130930";"07:07";"07:41";"19:19";"19:53"
"20131001";"07:08";"07:42";"19:17";"19:50"
"20131002";"07:10";"07:44";"19:14";"19:48"
"20131003";"07:12";"07:46";"19:12";"19:46"
"20131004";"07:14";"07:47";"19:10";"19:43"
"20131005";"07:15";"07:49";"19:07";"19:41"
"20131006";"07:17";"07:51";"19:05";"19:39"
"20131007";"07:19";"07:53";"19:03";"19:37"
"20131008";"07:20";"07:54";"19:00";"19:34"
"20131009";"07:22";"07:56";"18:58";"19:32"
"20131010";"07:24";"07:58";"18:56";"19:30"
"20131011";"07:25";"07:59";"18:54";"19:28"
"20131012";"07:27";"08:01";"18:51";"19:25"
"20131013";"07:29";"08:03";"18:49";"19:23"
"20131014";"07:31";"08:05";"18:47";"19:21"
"20131015";"07:32";"08:06";"18:45";"19:19"
"20131016";"07:34";"08:08";"18:42";"19:17"
"20131017";"07:36";"08:10";"18:40";"19:15"
"20131018";"07:37";"08:12";"18:38";"19:13"
"20131019";"07:39";"08:14";"18:36";"19:11"
"20131020";"07:41";"08:15";"18:34";"19:09"
"20131021";"07:42";"08:17";"18:32";"19:06"
"20131022";"07:44";"08:19";"18:30";"19:04"
"20131023";"07:46";"08:21";"18:28";"19:03"
"20131024";"07:48";"08:23";"18:26";"19:01"
"20131025";"07:49";"08:24";"18:23";"18:59"
"20131026";"07:51";"08:26";"18:21";"18:57"
"20131027";"06:53";"07:28";"17:19";"17:55"
"20131028";"06:54";"07:30";"17:18";"17:53"
"20131029";"06:56";"07:32";"17:16";"17:51"
"20131030";"06:58";"07:33";"17:14";"17:49"
"20131031";"07:00";"07:35";"17:12";"17:48"
"20131101";"07:01";"07:37";"17:10";"17:46"
"20131102";"07:03";"07:39";"17:08";"17:44"
"20131103";"07:05";"07:41";"17:06";"17:42"
"20131104";"07:06";"07:43";"17:04";"17:41"
"20131105";"07:08";"07:44";"17:03";"17:39"
"20131106";"07:10";"07:46";"17:01";"17:37"
"20131107";"07:11";"07:48";"16:59";"17:36"
"20131108";"07:13";"07:50";"16:58";"17:34"
"20131109";"07:15";"07:52";"16:56";"17:33"
"20131110";"07:16";"07:54";"16:54";"17:31"
"20131111";"07:18";"07:55";"16:53";"17:30"
"20131112";"07:20";"07:57";"16:51";"17:29"
"20131113";"07:21";"07:59";"16:50";"17:27"
"20131114";"07:23";"08:01";"16:48";"17:26"
"20131115";"07:25";"08:02";"16:47";"17:25"
"20131116";"07:26";"08:04";"16:46";"17:23"
"20131117";"07:28";"08:06";"16:44";"17:22"
"20131118";"07:29";"08:08";"16:43";"17:21"
"20131119";"07:31";"08:09";"16:42";"17:20"
"20131120";"07:33";"08:11";"16:40";"17:19"
"20131121";"07:34";"08:13";"16:39";"17:18"
"20131122";"07:36";"08:14";"16:38";"17:17"
"20131123";"07:37";"08:16";"16:37";"17:16"
"20131124";"07:39";"08:18";"16:36";"17:15"
"20131125";"07:40";"08:19";"16:35";"17:14"
"20131126";"07:41";"08:21";"16:34";"17:13"
"20131127";"07:43";"08:22";"16:33";"17:13"
"20131128";"07:44";"08:24";"16:32";"17:12"
"20131129";"07:46";"08:25";"16:32";"17:11"
"20131130";"07:47";"08:27";"16:31";"17:11"
"20131201";"07:48";"08:28";"16:30";"17:10"
"20131202";"07:50";"08:30";"16:30";"17:10"
"20131203";"07:51";"08:31";"16:29";"17:09"
"20131204";"07:52";"08:32";"16:29";"17:09"
"20131205";"07:53";"08:34";"16:28";"17:09"
"20131206";"07:54";"08:35";"16:28";"17:08"
"20131207";"07:55";"08:36";"16:27";"17:08"
"20131208";"07:56";"08:37";"16:27";"17:08"
"20131209";"07:58";"08:38";"16:27";"17:08"
"20131210";"07:59";"08:39";"16:27";"17:08"
"20131211";"07:59";"08:40";"16:27";"17:08"
"20131212";"08:00";"08:41";"16:27";"17:08"
"20131213";"08:01";"08:42";"16:27";"17:08"
"20131214";"08:02";"08:43";"16:27";"17:08"
"20131215";"08:03";"08:44";"16:27";"17:08"
"20131216";"08:04";"08:45";"16:27";"17:08"
"20131217";"08:04";"08:46";"16:27";"17:08"
"20131218";"08:05";"08:46";"16:27";"17:09"
"20131219";"08:06";"08:47";"16:28";"17:09"
"20131220";"08:06";"08:47";"16:28";"17:10"
"20131221";"08:07";"08:48";"16:29";"17:10"
"20131222";"08:07";"08:48";"16:29";"17:11"
"20131223";"08:08";"08:49";"16:30";"17:11"
"20131224";"08:08";"08:49";"16:31";"17:12"
"20131225";"08:08";"08:49";"16:31";"17:13"
"20131226";"08:08";"08:50";"16:32";"17:13"
"20131227";"08:09";"08:50";"16:33";"17:14"
"20131228";"08:09";"08:50";"16:34";"17:15"
"20131229";"08:09";"08:50";"16:35";"17:16"
"20131230";"08:09";"08:50";"16:36";"17:17"
"20131231";"08:09";"08:50";"16:37";"17:18"
